title;duration;certificate;genre;rating;directors;stars
A Private War;106 min;R;Biography, Drama, War;7.1;Matthew Heineman;Rosamund Pike, Jamie Dornan, Tom Hollander, Stanley Tucci
Al otro lado del viento;122 min;R;Comedy, Drama;7.3;Orson Welles;John Huston, Oja Kodar, Peter Bogdanovich, Susan Strasberg
Can You Ever Forgive Me?;106 min;R;Biography, Comedy, Crime;7.6;Marielle Heller;Melissa McCarthy, Richard E. Grant, Dolly Wells, Ben Falcone
Vice;NA;R;Biography, Drama, History;NA;Adam McKay;Amy Adams, Christian Bale, Steve Carell, Jesse Plemons
The Mule;NA;R;Crime, Drama, Mystery;NA;Clint Eastwood;Bradley Cooper, Taissa Farmiga, Clint Eastwood, Andy Garcia
Roma;135 min;R;Drama;8.4;Alfonso Cuarón;Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta
Thugs of Hindostan;164 min;NA;Action, Adventure;3.7;Vijay Krishna Acharya;Amitabh Bachchan, Aamir Khan, Katrina Kaif, Fatima Sana Shaikh
Operation Finale;122 min;16;Biography, Drama, History;6.5;Chris Weitz;Oscar Isaac, Ben Kingsley, Mélanie Laurent, Lior Raz
Mortal Engines;NA;PG-13;Action, Adventure, Fantasy;NA;Christian Rivers;Hugo Weaving, Stephen Lang, Robert Sheehan, Hera Hilmar
Crónicas de Navidad;NA;NA;Adventure, Comedy, Family;NA;Clay Kaytis;Kurt Russell, Oliver Hudson, Kimberly Williams-Paisley, Judah Lewis
Mi primer beso;105 min;7;Comedy, Romance;6.2;Vince Marcello;Megan du Plessis, Lincoln Pearson, Caitlyn de Abrue, Jack Fokkens
Gorrión rojo;140 min;18;Action, Drama, Thriller;6.6;Francis Lawrence;Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling
Cadáver;85 min;R;Horror;8.3;Diederik Van Rooijen;Stana Katic, Shay Mitchell, Grey Damon, Kirby Johnson
Burning;148 min;12;Drama, Mystery;7.6;Chang-dong Lee;Ah-In Yoo, Steven Yeun, Jong-seo Jeon, Soo-Kyung Kim
María, reina de Escocia;125 min;NA;Biography, Drama, History;NA;Josie Rourke;Margot Robbie, David Tennant, Saoirse Ronan, Gemma Chan
Malevolent;89 min;NA;Horror;4.8;Olaf de Fleur Johannesson;Florence Pugh, Ben Lloyd-Hughes, Scott Chambers, Georgina Bevan
Teen Titans Go! La película;84 min;A;Animation, Action, Comedy;6.8;Aaron Horvath, Peter Rida Michail;Greg Cipes, Scott Menville, Khary Payton, Tara Strong
Rey de ladrones;108 min;NA;Crime, Drama;6.0;James Marsh;Charlie Cox, Michael Caine, Michael Gambon, Jim Broadbent
The Witch in the Window;77 min;NA;Drama, Horror;5.9;Andy Mitton;Arija Bareikis, Alex Draper, Charlie Tacker, Carol Stanzione
El regreso de Ben;103 min;R;Drama;6.9;Peter Hedges;Julia Roberts, Lucas Hedges, Courtney B. Vance, Kathryn Newton
Thunder Road;92 min;NA;Comedy, Drama;7.4;Jim Cummings;Jim Cummings, Kendal Farr, Nican Robinson, Jocelyn DeBoer
The Kindergarten Teacher;96 min;R;Drama;6.7;Sara Colangelo;Maggie Gyllenhaal, Gael García Bernal, Ato Blankson-Wood, Libya Pugh
Müslüm;136 min;NA;Biography, Drama, Music;8.5;Ketche, Can Ulkay;Erkan Avci, Ayça Bingöl, Erkan Can, Timuçin Esen
Welcome Home;97 min;R;Thriller;5.6;George Ratliff;Aaron Paul, Emily Ratajkowski, Riccardo Scamarcio, Katy Louise Saunders
Bumblebee;NA;NA;Action, Adventure, Sci-Fi;NA;Travis Knight;Hailee Steinfeld, Justin Theroux, Angela Bassett, Pamela Adlon
Wildlife;105 min;PG-13;Drama;7.3;Paul Dano;Jake Gyllenhaal, Carey Mulligan, Ed Oxenbould, Bill Camp
