title;duration;certificate;genre;rating;directors;stars
Egreti Gelin Ladik;NA;NA;Drama;8.3;Deniz Guvenc, Zaim Güvenc;Deniz Guvenc, Tarik Günersel, Sevinc Mese, Yesim Salkim
Little Voice;NA;NA;Horror, Thriller;NA;Chloe Mann, Calan Scherer;Logan Kane, Kevin Lucero Less, Jay Mitchell, Tilly Taufmann
Kreuzberg;NA;NA;Drama;NA;Carl Bessai;Denise Ankel, Sammy Ounis, Lila Gürmen, Horst-Günter Marx
Sleeper;NA;NA;Horror, Thriller;NA;Christopher Donaldson;NA
Une année chez les Français;NA;NA;Comedy;NA;Abdelfattah Arrom;Saif Arrom, Antoine Chiniard, Jeremy Banster, Marie-Gaëlle Cals
Cold Read;NA;NA;Thriller;NA;Damian Nieman;NA
Evil Deeds;NA;NA;Horror, Thriller;NA;Ronnie Rokk Smith, Matt Spease, Rick Vyper;Lucian Xanthos, Matt Spease, Miracle Davis, Jonathan Nahlen
Jadeh Ghadim;NA;NA;Drama;4.3;Manijeh Hekmat;Mohammad Reza Ghaffari, Mohammed Reza Hedayati, Behnaz Jafari, Mahtab Keramati
5K1;108 min;NA;Action, Drama;4.3;Dionciel Armstrong;Angelo Ashmon, Jason 'Kulayd' Clayton, Forty Da Great, Ayanna Fullilove
Locked In;NA;NA;Action, Thriller;NA;Carlos V. Gutierrez;NA
Fireflies;85 min;NA;Drama;NA;Bani Khoshnoudi;Luis Alberti, Edwarda Gurrola, Arash Marandi, Eligio Meléndez
Jolted;NA;NA;Drama;NA;Elena Altman;Jeanne Young, Dennis von Hagen, Irina Dianova, Keely Dervin
Writer's Block;NA;NA;Comedy;NA;Richard Tavernaro;Jeff Rose, Alpha Trivette, Keith Brooks, Cassie Lowe
King's Gambit;105 min;NA;Action, Adventure, Drama;NA;Joseph Sayer;Blake Webb, Rebecca Galarza, Reggie Peters, Wade Williams
No Man's Land;85 min;NA;Horror;NA;Robyn Watkins;Karyn Guenther, James Lewellyn Evans, JoAnn Nordstrom
Middle of the Night;77 min;NA;Horror;5.2;David Scheinbaum;Erika Othen, Shelly Martinez, Derek Easley, Adeana Lane
What Are We?;NA;NA;Comedy;NA;Jonah Feingold;Mary Katherine Duhon, Sabastian Zeqharr, Jeff Ayars, Luke Lenza
Via Carpatia;75 min;NA;Drama;4.4;Kasper Bajon, Klara Kochanska;Julia Kijowska, Piotr Borowski, Bajram Severdzan, Bruno Blach-Baar
The Suzuki's Family Lie;NA;NA;Drama;NA;Katsumi Nojiri;Hideko Hara, Ryo Kase, Mai Kiryû, Ittoku Kishibe
Solid Patels;NA;NA;Comedy;NA;Saurabh Varma;Shiv Pandit, Shazahn Padamsee, Kettan Singh, Ali Asgar
The Viper's Hex;NA;NA;Horror;NA;Addison Heath, Jasmine Jakupi;Kei Miura, Yasunari Kondo, Saya Minami, Nozomi de Lencquesaing
Untitled Bryan Callen Comedy Special;NA;NA;Comedy;NA;Brian Volk-Weiss;Bryan Callen
The Girl with the Bangs;NA;NA;NA;NA;Wesley Alley;Alexa Alemanni, Matthew Bellows, Amanda Markowitz, Philip Smithey
Cleanse;1 min;NA;Drama;NA;Colbie Fray;NA
Evil Everywhere;51 min;NA;Comedy, Fantasy, Horror;NA;Mykee Morettini;Brian Harmony, Mykee Morettini, Corrinne Mica, Leland Masek
The Fort;70 min;NA;Drama, War;NA;Douglas Cubin;Andrew Joshi, Jordan Handford, Eric Wharton, Sean Sheahan
The Most Dangerous Man;NA;NA;Action;NA;Ronnie Champaign;Paul Logan, Rodney Feaster, Lisa Monde, Al Pagano
Reconnected;15 min;NA;Crime, Drama;8.2;Summer-Joy Main;Barbara Bain, Kerry O'Malley, Robert Kerbeck, Bobby Reed
Unidad XV;NA;NA;Drama;NA;Martín De Salvo;Rafael Spregelburd, Lautaro Delgado, Diego Gentile, Carlos Belloso
Me Too;60 min;NA;Biography, Drama;NA;Anthony Penney;Evette Young, Zachary Vazquez, Stephanie Town, Avery E. King
Tycho;NA;NA;Biography, Comedy, History;NA;Johannes Grenzfurthner, Juliana Neuhuber;Max Grodénchik, Lena Kalisch, Johannes Grenzfurthner, Alexander E. Fennon
Questao De Confusao;154 min;NA;Comedy;NA;Swapnil Shetkar;NA
Hashire! T-kô Basket bu;NA;NA;Drama, Sport;NA;Takeshi Furusawa;Yasushi Ami, Yûdai Chiba, Akari Hayami, Sei Matobu
Saimon & Tada Takashi;83 min;NA;NA;NA;Manabu Oda;Itsuki Sakamoto, Kenta Suga, Yuki Mamiya, Kai Inowaki
Greed: Heavy Is The Hand;76 min;NA;Action;2.9;Rodney Jackson;Royce Beggs, Harley Castro, Damien Michael Chase, John Emil D'Angelo
El buzo;NA;NA;Drama;NA;Günter Schwaiger;Alex Brendemühl, Franziska Weisz, Dominic Marcus Singer, Julia Franz Richter
Más que el Agua;NA;NA;Drama;NA;Amauris Pérez;Frank Perozo, Manuel Raposo, Hony Estrella, Laura Diaz
Gracias Gauchito;NA;NA;Drama, History, War;NA;Cristian Jure;Diego Cremonesi, Lali Gonzalez, Jorge Sienra, Hector Silva
Zero Fucks;NA;NA;Comedy;NA;Ben Eckstein;Elizabeth Anweis, Keelin Woodell, John Pirruccello, Johnny Ferro
Project Dead Zone;48 min;NA;Horror;NA;Jason Zada;Stephanie Altholz, Dana Blasingame, Blake Hansen, Chris Marsol
The Crossfire;120 min;NA;Action, Drama;NA;Jacob Whitley;Patrick Lescarbeau, Daniel Vasquez II, Ryan T. Johnson, Abigail Guerrero
Manager;NA;NA;Drama;NA;Sabine Boss;Ulrich Tukur, Anna Tenta, Therese Affolter, Stefan Kurt
Time Perspectives;NA;NA;Sci-Fi;NA;Ciro Sorrentino;Sam Gittins, Mino Sferra, Ellie Poussot, Eliana Manvati
W Gli Sposi;NA;NA;Comedy;NA;Valerio Zanoli;Iva Zanicchi, Carlo Pistarino, Marisa Laurito, Paolo Villaggio
Chance Has No Empathy;NA;NA;Thriller;NA;Gabriel Saint;Will Rothhaar, Brooke Culbertson, Maddisyn Carter, Nancy Linehan Charles
A Tale of Two Sillies;103 min;NA;Comedy, Drama;NA;Brandon Esten;Larry Wilcox, Ian Bagg, Daniel Sobieray, Shaz Khan
Ara;90 min;NA;Drama;NA;Pere Solés;Gerard Brunsó, Núria Brunsó, Pau Chapur, Gemma Costal
Humanity;88 min;NA;Drama;NA;John Uche, Olive Eko;Iris Crenshaw, Jeffrey Wells, Olive Eko
Resonance;73 min;NA;Horror, Sci-Fi, Thriller;7.3;Siar Sedig;Max Croes, Nastassia Firestone
Apocalipsis Voodoo;99 min;12;Action, Comedy, Fantasy;7.5;Vasni Ramos;Sergio G. Ramos, Domingo Efegé, Jesús Santana, Noé Ramos
Papi;NA;NA;Drama;NA;Noelia Quintero;Avril Alcantara, Amauris Pérez, Hony Estrella, Olga Bucarelli
Free from you;74 min;NA;Drama, Romance;NA;Viola von Scarpatetti;Simon Pelletier-Gilbert, Viola von Scarpatetti, Sylvio Arriola, Caroline Courtois Schirmer
Salvage;NA;NA;Crime, Drama, Mystery;NA;Tyler Dowey;Romaine Waite, Ucal Shillingford, Terry Brandon, Ashleigh Morrison
Putanapuram: Unexpected Guest;NA;NA;Mystery, Thriller;NA;Nagu Golla, Teja Golla;Suraj Krishna, Vardhan Chilukuri, Ramyasri Andhe, Geethika Ratan
The Making of a Tomb Raider;NA;NA;Action, Adventure;NA;Scott Messick;Virginia Haskin, Claire Marie, Chris Wilczewski
Quirewood! The Musical;NA;NA;Musical;NA;Adam Griswold;Hannah Heckman-McKenna, Bryan Thomas Niedermayer, Carli Elise Hamilton, René Bergeron
Jusqu'à la lie;NA;NA;Drama;NA;Christian Le Hémonet;Yann Lerat, Cécile Peyrot, Franck Vidal, Annabelle Veltri
Running Through Darkness;101 min;NA;Crime, Drama, Thriller;NA;Peter O'Brien;Landon Beard, Lillian Bornstein, Jamie Carson, Cassidy Chamberlin
Austin Weird;90 min;NA;Comedy;NA;Dillon Cameron;Eman Esfandi, Shonagh Smith, Michael Rodriguez, Joe Bunner
By the Grace of God;47 min;NA;Thriller;NA;Ryan Katzenbach;Robert Michael, Alex Paige Fream, Ginger Latimer, McKenna Reese Katzenbach
Ayogya;NA;NA;Comedy;7.5;Mahesh Kumar;Sathish Neenasam, Rachita Ram
Jamba Lakidi Pamba;141 min;NA;Comedy, Fantasy;7.9;J.B. Murali Krishna;Srinivasa Reddy, Siddhi Idnani, Vennela Kishore, Krishna Murali Posani
Thanaha;122 min;NA;Drama;10.0;Prakash Kunjhan Moorayil;Sudheesh Anchery, Sruthy Bala, Balachandran Chullikadu, Shivaji Guruvayoor
Mangalyam Thanthunanena;138 min;NA;Comedy, Family;7.3;Soumya Sadanandan;Kunchacko Boban, Nimisha Sajayan, Hareesh Perumanna, Soubin Shahir
Sultan Agung: Tahta, Perjuangan, Cinta;148 min;NA;Action, Drama;7.5;Hanung Bramantyo, X. Jo;Ario Bayu, Marthino Lio, Adinia Wirasti, Putri Marino
Meet Me After Sunset;NA;NA;Drama;7.9;Danial Rifki;Maxime Bouttier, Agatha Chelsea, Billy Davidson
Malice: Emergence;112 min;NA;Adventure;NA;Philip J. Cook;Brittany Martz, Michael Sigler, Mark Hyde, Matthew Sharpe
Apocalypsis;90 min;NA;Fantasy, Mystery, Thriller;7.6;Eric Leiser;Maria Bruun, Chris O'Leary, Eros Galbiati, Azumi Tsutsui
Coyote;NA;NA;Action, Crime, Drama;NA;Adam Del Giudice;NA
Clocking the T;NA;NA;Comedy, Romance;NA;Michael Thibault;Jana Nawartschi, Ben Hicks, Lee Simonds, Chantal Lashon
Ghost Box;90 min;NA;Drama, Horror;NA;Michal Jarzabek;Alicia Frame, Randy Bernales, Erik Papucci, Ric Morgan
The Uprising;NA;NA;Drama, Mystery, Sci-Fi;NA;Amilcar Monterroso;Gina DeVivo, Andrea Sixtos, Ian Stanley, Alexandria Cree
Sumergible;100 min;NA;Thriller;NA;Alfredo León León;Natalia Reyes, Leynar Gomez, José Restrepo, Carlos Valencia
Aasma;105 min;NA;Action, Crime, Drama;NA;Sudipto Sen;Sunny Hinduja, Subrat Dutta, Vishwajeet Pradhan, Elena Kazan
Phantom Flyer;NA;NA;Horror;NA;Scott Marlowe;Ken Anthony II, Izzy the Cat, Teo Ciltia, Loretta Collins
The Last 40 Miles;NA;NA;Drama;NA;Heather Canik;Kamy D. Bruder, Brady Roberts, Amanda Kruger, Lance Lemon
The Oscar Nominated Short Films 2018: Animation;83 min;NA;Animation;7.4;NA;NA
Chop Chop Chang: Operation C.H.I.M.P;92 min;NA;Comedy;NA;Jack Bils;Chop Chop Chang, Fidel Castro, Mason Lazarcheff, Jack Allison
Where the Streets Have No Name;150 min;NA;Adventure, Drama;NA;Kerim Troeller;Rick Rossovich, Kerim Troeller
Hamlet in the Golden Vale;120 min;NA;Drama;9.4;Dan Hasse, Taylor Myers;Pat Dwyer, Beth Ann Hopkins, Jonathan Hopkins, Elise Kibler
Dark Karma;NA;NA;Crime;NA;NA;Tom Sizemore, Vithaya Pansringarm, David Asavanond
Ciegos;81 min;NA;Drama;NA;Fernando Zuber;Marcelo Subiotto, Luis Ziembrowski, Benicio Mutti Spinetta
After;NA;NA;Adventure;NA;Shaun Peter Cunningham;Leila Finn, Audrey Lingle, Rene Little, Kiko Medrano IV
Unintended 1900: Unlocking Myrtle's Century-Old Secret;NA;NA;History;NA;Colleen Krantz;Grace Mumm, Claire Kinder, Caleb Harris, Alex Schaeffer
Punto Muerto;77 min;NA;Crime, Mystery;NA;Daniel de la Vega;Rodrigo Guirao Díaz, Luciano Cáceres, Osmar Núñez, Natalia Lobo
The Last Operative;NA;NA;Action, Drama;NA;John Alfieri;Tom Renner, Bill Wallace, Michael Depasquale Jr., Mark Richard Goldman
The Lovers;NA;NA;Horror;NA;Shalisha Bynoe;Patrick R. Walker, Paul Hughes, Brad Napp, Peter Aylward
Het Hart van Hadiah Tromp;89 min;NA;Comedy, Music, Romance;4.8;Erik de Bruyn;Chloé Leenheer, Valentijn Benard, Jacqueline Blom, Mike Weerts
Rå;30 min;NA;Drama;8.2;Sophia Bösch;Sofia Aspholm, Lennart Jähkel, Ingmar Virta, Ivan Mathias Petersson
Painting Life;145 min;NA;Drama;NA;Bijukumar Damodaran;Prakash Bare, Geetanjali Thapa, Ritabhari Chakraborty, Shankar Ramakrishnan
If I Am President;NA;NA;Thriller;NA;Bright Wonder Obasi;Olukayode Aiyegbusi, Rekiya Attah, Ayoola Ayolola, Rachel Bakam
La Flor: Tercera Parte;NA;NA;NA;8.3;Mariano Llinás;Elisa Carricajo, Valeria Correa, Pilar Gamboa, Laura Paredes
Alicia;NA;NA;Drama;NA;Alejandro Rath;Paloma Contreras, Patricio Contreras, Martín Vega, Leonor Manso
Through the Blinds;70 min;NA;Crime, Drama, Thriller;NA;Austin Kane Anderson;Emily Shenaut, Christopher Ellay, Anna Clols, Paul Brewster
Dos Fridas;NA;NA;Drama;NA;Ishtar Yasin Gutierrez;Maria de Medeiros, Ishtar Yasin Gutierrez, Grettel Méndez, Diana Lein
myPhone;89 min;NA;Drama;NA;Micheal Bafaro;Michael Mitton, Colm Hill, Don Knodel, Joseph Frangie
Just Between Us;NA;NA;NA;NA;Kaily Smith Westbrook;Angelina Capozzoli, Jordan Alexa Davis, Willem Miller
Dementer;80 min;NA;Horror;NA;Chad Crawford Kinkle;NA
Torchlighters: The Harriet Tubman Story;30 min;NA;Animation;NA;Robert Fernandez;Tanasha Friar, Mario Mims, Al Raya, Alfrelynn Roberts
The Orchard;NA;NA;Comedy, Drama;NA;Mary Sellers;Douglas Dean, Mary Sellers, Michael Golab, Paudge Behan
Malla 3al2a: Trouble;106 min;NA;Comedy;NA;Boudy Sfeir;Carlos Azar, Wissam Saliba, Jad Bou Karam, Abbas Jaafar
¿Cómo Andamos por Casa?;NA;NA;Comedy;5.6;Boris Quercia;Florencia Berner, Felipe Castro, Luciano Cruz Coke, Álvaro Espinoza
Hell Is Empty;96 min;NA;Action, Crime, Drama;NA;Clint Gaige;Konstantine James, Chas. Rittenhouse Sr., Elizabeth Gmaz, Justin Sisk
The Horror at Gallery Kay;79 min;NA;Drama, Fantasy, Horror;NA;Abe Goldfarb;Maine Anders, Rosebud, Brian Silliman, Kristen Vaughan
Shinmashi;95 min;NA;Thriller;NA;Yasumasa Konno;Shôhei Abe, Yibing Chen, Riki Hanai, Makoto Imazato
Tatli Bela;90 min;NA;Comedy, Romance;6.3;Cem Sürücü;Asli Bankoglu, Erdogan Bilici, Eda Erol, Gökhan Keser
Across the Ocean;90 min;NA;Comedy, Drama;NA;Nicole Donadio, Uma Kumarapuram;Krishna Smitha, Joshua Basili, Darin Toonder, Austin Arnold
Eight Out of Ten;108 min;NA;Drama;6.2;Sergio Umansky Brener;Raúl Briones, Edward Coward, Noé Hernández, Adrian Ladron
The Charter;96 min;NA;Thriller;NA;Joseph Edward Schur;Dominique Smith, Werner Artinger, Crisencio Amiana, Gabriel Gherutchi
Tres;118 min;NA;Action;NA;Dondon S. Santos, Richard Somes;Bryan Revilla, Luigi Revilla, Jolo Revilla, Joey Marquez
Hong Kong Rescue;NA;NA;Action;4.5;Yijun Liu;Taishen Cheng, Bingyan Yan, Yao Chai, Xiaoxue Chen
The Dinner Party;NA;NA;Drama;NA;Marco Capalbo;Kelly Erin Decker, Eric Gorlow, Nick Holmes, Erica Rhodes
The Mascot;NA;NA;Horror;NA;Sean McGann;Kali Rose, Nadia Ibrahim, Ethan Rincon, Jarrod Lark
We Can Do Anything;84 min;NA;Drama;8.9;Jackson Gary;Brooke Gary, Jackson Gary, Joseph Saleh, Ryan Stamper
House of Pain;73 min;NA;Thriller;NA;Dustin Ferguson;Daiane Azura, Clint Beaver, Amber Jenna Bohac, Edwin Garcia
My Dear Wife;126 min;NA;Drama;NA;Chandan Kumar;Aakansha Kadre, Meenal Kapoor, Jagat Rawat, Nakul Vaid
Manassu: a Psychological Thriller;100 min;NA;Thriller;NA;Vishnuvardhan;Mamatha Rahuth, Aditi Prabhudeva, Alisha Andrade, Vishnuvardhan
Day for Night;NA;NA;Thriller;NA;NA;David Gere, Chelsea Vale
Octagon;100 min;NA;Horror;NA;Christopher Wiggins;Kierney Nelson, Blythe Scott, Chandler Lane, Elizabeth Baden Knowles
Hot Mess;90 min;NA;Comedy;8.6;Lucy Coleman;Marshall Campbell, Zoe Carides, Sarah Gaul, Hannah Lehmann
The Best Film Ever Made...;NA;NA;NA;NA;Merrill Willgrubs;Clay Pool, John Maciag, Cameron Humble, Doug Dow
Narendra;NA;NA;Action;NA;Jayant Paranji;Izabelle Leite, Nilesh
Schastya! Zdorovya!;85 min;NA;Comedy;5.2;Mark Gorobets, Vahagn Khachatryan, Leonid Margolin, Arman Marutyan;Marina Fedunkiv, Kamil Larin, Hayk Marutyan, Igor Nikolaev
Liebesfilm;82 min;NA;Comedy;7.2;Robert Bohrer;Eric Klotzsch, Lana Cooper, Gerdy Zint, Hartmut Becker
Beyond the Vows;NA;NA;Family;NA;Joan Montreuil;Kimberly Ryans, Angel Henson Smith, Cacilie Hughes, Kay Salem
Green Grass;NA;NA;Drama;NA;Ignacio Ruiz;Yukiyoshi Ozawa, Tokuma Nishioka, Daniel Candia, Nicolas Toro
Icarus;NA;NA;Drama;NA;Brad Porter;A. Monnie Aleahmad, Ron E. Rains, Tania Mejia, Rebeca Robles
Dance of the hearts;75 min;NA;Fantasy;NA;Luciano Silighini Garagnani;Gloria Zona, Nunzia Raia, Paolo Riva, Roberta Nicosia
Rainbow Fields;90 min;NA;Drama;6.4;Bidyut Kotoky;Victor Banerjee, Dipannita Sharma, Nakul Vaid, Naved Aslam
Valerie;NA;NA;Action, Mystery, Romance;NA;Alexander Kominek;Michele Wienecke, Kathryn Kozody, Amber Bissonnette, Robert Larrabee
Wild Night;NA;NA;Comedy;NA;Kenneth Appleton;Perry Zulu Jr., Mia Rio, Kenneth Appleton, Joseph Yates
Saint-Narcisse;NA;NA;NA;NA;Bruce La Bruce;NA
Cheaters;NA;NA;Comedy;NA;Manos Krystalis;Manos Krystalis
Mr. Homanand;121 min;NA;Horror;NA;Jai Ram Kumar;Homanand, Pavani, Priyanka Sharma
Emma;77 min;NA;Drama;5.6;Juan Pablo Martínez;Germán Palacios, Sofía Rangone, Jazmín Stuart
Buy Sell Trade;NA;NA;Comedy;NA;Brandon Guiles, Cory Hearns;Kyle Blair, Mark Ginter, Brandon Guiles, Chris Kendrick
Beauty Kingdom;NA;NA;Drama;NA;Israel Cárdenas;Jaime Pina
#Gadhvi (He thought he was Gandhi);109 min;NA;Drama;NA;Gaurav Bakshi;Rasika Dugal, Sanjay Mishra, Akshay Oberoi
An Uncertain Border;NA;NA;Thriller;NA;Isabella Sandri;Cosmina Stratan, Heio von Stetten, Klara Höfels, Moise Curia
An English Gentleman;NA;NA;Drama;NA;Alex Harrison;Kate Baxter, Richard Dee-Roberts, Ben Harlen, James Hills
The mountain tears;111 min;NA;Drama;NA;Stelios Charalampopoulos;NA
Eski köye yeni adet;102 min;NA;Comedy;4.3;Gülistan Acet, Ferit Karahan;Osman Akca, Haki Biçici, Muhammed Cangören, Füsun Demirel
A hedgehog by the name of Ludwig;88 min;NA;Romance;NA;Mger Mkrtchyan;Milena Avanesyan, Arcrun Chobanyan, Ani Ghazaryan, Kristina Hovakimian
Lost on Infinity;NA;NA;Animation;NA;Dan Zeff;NA
Valley of the Lanterns;97 min;NA;Animation;NA;Caleb Hystad;Samantha Ferris, Thomas Haddaway-Graham, Ian Hanlin, Jonathan Love
Paralyzed;NA;NA;Horror;NA;Nathaniel Nuon;Michael A. Green, Amanda Bond Mitchell, Brent Phillip Henry, Dawn Hamil
Brooklyn Roses;75 min;NA;Drama;NA;Christine Noschese;Sari Caine, Sari Caine, Chevi Colton, Stephen Girasuolo
Vecne tvá neverná;NA;NA;Comedy, Romance;3.3;Milan Cieslar;Sasa Rasilov, Lenka Vlasáková, Vilma Cibulková, Natalia Germani
The Underdog;90 min;NA;Action;NA;Lee Akehurst;Paul Coster, Ciara A. Lyons, Jessica Balmer, Simon DeSilva
I Tehni Katastrefei: Back Held Hands;104 min;NA;Drama;NA;Nikos Kornilios;Aurora Marion, Estelle Marion, Katia Leclerc O'Wallis, Kostas Arzoglou
East of Yuma;NA;NA;Action, Drama, Western;NA;Thadd Turner;Sarah Minnich, Wednesday Tomorrow Bird, Thadd Turner, Gary Colombo
Ghabe;100 min;NA;Drama, Romance;NA;Markus Castro;Sara Sommerfeld, Lena B. Eriksson, Adel Darwish, Nathalie Williamsdotter
The Harvester;NA;NA;Drama;NA;Rafaela Castellanos;London Li Grace, Allie Escaffi, Heath C. Heine, Marla Kalin
El hijo del acordeonista;NA;NA;Drama;NA;Fernando Bernués;Joseba Apaolaza, Eneko Arcas, Miren Arrieta, Aitor Beltrán
La Promesa;104 min;NA;Family;NA;Oscar Blancarte;Lumi Cavazos, Alessio Valentini, Alejandro Cardenas, Rafael Inclán
Crossroads to Shaolin;NA;NA;Action, Drama, Sport;NA;Lee Baker, Xiaoning Feng;NA
Hostel Days;NA;NA;Drama, Musical;7.8;Ajay Naik;Prarthana Behere, Sanjay Jadhav, Virajas Kulkarni, Akshay Tanksale
Vien di notte;96 min;NA;Horror;NA;Mirko Zaru;Manuela Serra, Luca Solinas, Christian Loddo, Giuseppe Garippa
The Mark;NA;NA;Mystery;NA;Gerry Ferretti;Gerry Ferretti, Kate Schrader, Vincent Ticali, Eddie Sessa
Timebreakers und die rätselhaften Grabzeichen;106 min;NA;Adventure, Family, Fantasy;NA;Niels Marquardt;Bianca Peters, Kai-Uwe Wedel, Jette Lange, Elisabeth Mathilde Cartus
Hangman;NA;NA;Thriller;8.2;Liam Thomas-Burke;Ben Manning, Ruth Herd, Sean Glock, Matt Chamberlain
Wonderland;120 min;NA;Adventure, Fantasy, Horror;NA;Ciaron Davies;Ricardo Mexas, Fionnuala Collins, Ciaron Davies, Mark Davis
Kaali;131 min;NA;Action, Drama, Thriller;5.2;Kiruthiga Udhayanidhi;Vijay Antony, Sunaina, Anjali, Amritha
Dajjal the Slayer and His Followers;NA;NA;Animation, Action, War;NA;Abrar Rana;NA
Sachindi Ra Gorre;NA;NA;Comedy, Crime;NA;Sridhar Reddy Yarwa;Anasuya Bharadwaj, Rocking Rakesh, Srinivas Reddy, Tillu Venu
Dale Archdale;NA;NA;Comedy;NA;Tyler Wirtanen;Ron Jeremy, Sophia Miller, Brick Jackson, Rob Koebel
Koko wa taikutsu mukae ni kite;NA;NA;Romance;NA;Ryuichi Hiroki;Ai Hashimoto, Mugi Kadowaki, Yuki Katayama, Yukino Kishii
Mayflower;NA;NA;NA;NA;Ranjith Sankar;Jayasurya, Prithviraj Sukumaran
Spinners: Izzy Lyon - The Unspun Truth;NA;NA;Comedy;NA;Dan Lanigan, Mehran Torgoley;Phil LaMarr, Lang Parker, Jeff Bryan Davis, Bruce Baum
De Ijaazat Rahun Tujhme;NA;NA;Thriller;NA;Awani Agrawal;Rajpal Yadav, Sourav Chakraborty, Gurleen Chopra, Narendra Jha
Kottayam kurbana;NA;NA;Drama;NA;NA;Nayanthara
This Island;NA;NA;Drama;NA;D.C. Lessoway;Kyal Scott, Jody Quine, Martin Thomson, Mirella Gibeau
Me You He She;NA;NA;Comedy;NA;David Dodson;Vladimir Zelenskiy, Evgeniy Koshevoy
Nothing Special;72 min;NA;NA;NA;Paul Ballerini;Andre Pierzchala, Adam Leborgne, Amelia Wong-Mersereau, James Carignan
I Am Good;NA;NA;Drama;NA;Hugo de Sousa;Hugo de Sousa, Andrés Delgado, Myles Brewer, David Volz
Na Band Na Baraati;134 min;NA;Comedy;6.2;Mahmood Akthar;Komal Farooqi, Saram Jaffery, Zuhair Jaffery, Ali Kazmi
Hetzhund: The Duke of Crows;NA;NA;Horror;NA;Lee Foster;Elvis Stojko, Robert Notman, Steve Kasan, Liam Murphy
The Second Coming;NA;NA;Horror;NA;James Montanez;Lance Barnhart, Roxanne Farrar, Becca Isacoff, Melissa Laub
Finalmente sposi;NA;NA;Comedy;6.3;Lello Arena;Miloud Mourad Benamara, Ciro Ceruti, Paco De Rosa, Sergio Friscia
Burgers;105 min;NA;Comedy, Drama;NA;John Xavier Brosnan;Katie Lohmann, Victorya Brandart, Brett Wagner, Nazlie Mojiri
Big Exit;NA;NA;Drama;NA;Stephen Harris;Flor De Liz Perez, Thea McCartan, Justin Sargent, Nick Choksi
On the Run;NA;NA;Action, Thriller;NA;Tony Tanelli Oliver;Viktoriya Dov, Ciera Foster, Tiffany DeMarco, David 'Blak' Plascencia
Rebellious Children of the Unconscious;90 min;NA;NA;NA;Hector Martinez;Josh Meyer, Justine Cotsonas, Nicole Swahn, Bob King
Q-4: Dream Corporation;90 min;NA;Sci-Fi;NA;Tim McKort;Eric Roberts, Jon Van Ness, Shawn Patrick Greene, Barry Kivel
Mannavan Vanthanadi;NA;NA;Romance;NA;K. Selvaraghavan;Aditi Sudhir Pohankar, Santhanam
Maganda! Pinoy Boy vs Milk Man;NA;NA;Comedy;NA;Matthew Victor Pastor;Stuart Simpson, Josh Hayes, Celina Yuen, Matthew Victor Pastor
Rock Sugar;NA;NA;Thriller;NA;Angela How;Alec Golinger, Kirar Mercy, Olivia Sprague, Giustino Della Vedova
Rock Band Party;NA;NA;Thriller;NA;Sanoj Mishra;Shiv Aryan, Ravinder Kuhar, Sujit Mishra, Kanchan Namdev
Zalla;NA;NA;Sci-Fi;NA;Tianwei Wang;Amy Shi, Naomi Rodri, Victor Migalchan, Tyler Ip
YouChoose;100 min;NA;Sci-Fi, Thriller;NA;Adam Hardman;Joel Friedrich, Neely Johnson, Shannon Walsh, Mitzi Akaha
Tranquility - An Independent Espionage/Crime Film;46 min;NA;Crime, Drama;8.2;Alexander Geil, Zackary St. Amant;Zackary St. Amant, Lucas Roberts, Alexander Geil, Olivia Little
Never Again;NA;NA;Drama;NA;Benn Perry;Rose Anne Nepa, Bill K. Kenney, Chris Ewing, Burke Sage
Meteorlight;10 min;NA;Animation, Adventure, Fantasy;NA;Jonny Eveson;NA
Sawah;NA;NA;Comedy, Drama;NA;Adolf El Assal;Stéphane Bissot, Karim Kassem, Jean-Luc Couchard, Eric Kabongo
Der Boden unter den Füssen;NA;NA;Drama;NA;Marie Kreutzer;Mavie Hörbiger, Valerie Pachner, Pia Hierzegger, Dominic Marcus Singer
I Hope You'll Die Next Time;96 min;NA;Drama, Thriller;NA;NA;NA
Ghost Town Anthology;97 min;NA;Drama, Fantasy;NA;Denis Côté;NA
Locked Alone;87 min;NA;Crime, Drama, Horror;NA;Yung-Jen Yang;Claire Hsu, Louisa Ward, Kuniko Shoji, Theodore Newton
The Oracle;89 min;NA;Sci-Fi;NA;Lawrence Franzen;Barika A. Croom, Jason Carlage, Sarah Attrill, Elodie Hara
Whiskey Flavoured Toothpaste;NA;NA;Drama;NA;Ray Pearson;Ray Pearson, Alex Gallant, Charles F. Gray, Wayne Sieben
Look Into the Fire;NA;NA;Thriller;NA;Tim Morrill;Gregg Henry, Jackie Dallas, Allayna Slate, Mateo Garcia
Monsters;96 min;NA;Drama, Romance;NA;Marius Olteanu;Serban Pavlu, Alexandru Potocean, Cristian Popa, Judith State
I Am Not a Begger;120 min;NA;Drama;NA;Vijay Pal;Ehsan Khan, Aditya Sharma, Paris Keswani, Shiv Sharma
Thrasher Road;NA;NA;Comedy, Drama;NA;Samantha Davidson Green;Allison Brown, Christian Kohn, Joe Rogers, Michelle Maynard Carlson
Id-Destin;NA;NA;Drama, Romance;6.9;Dominic Said;Clayton Pace, Kristen Camilleri, Sonic Aquilina, Dorian Micallef
Intercity;50 min;NA;Action, Thriller;NA;Prashast Singh;Prashast Singh
